latitud;longitud;id
40.42537; -3.71246; 228
40.42526; -3.71237; 229
40.42514; -3.71230; 230
40.42500; -3.71220; 231
40.42494; -3.71215; 232
40.42476; -3.71202; 233
40.42454; -3.71186; 234
40.42438; -3.71175; 235
40.42425; -3.71168; 236
40.42417; -3.71163; 237
40.42407; -3.71155; 238
40.42400; -3.71149; 239
40.42387; -3.71138; 240
40.42377; -3.71129; 241
40.42353; -3.71102; 242
40.42342; -3.71091; 243
40.42338; -3.71086; 244
40.42322; -3.71116; 245
40.42314; -3.71134; 246
40.42305; -3.71149; 247
40.42294; -3.71168; 248
